"","comuna","categoria","precio","tiponegocio","aniousuarioyapo","urlyapo"
"X243","Región Metropolitana, Huechuraba","Audio, TV, video y fotografía",140000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/television_camaras/sony_cx_200_73768505.htm?ca=15_s&oa=73768505&xsp=47"
"X244","Región Metropolitana, Macul","Vestuario futura mamá y niños",4000,"Vendo","2017","https://www.yapo.cl/region_metropolitana/vestuario-futura-mama-ninos/vestido_2_anos_73768503.htm?ca=15_s&oa=73768503&xsp=48"
"X245","Región Metropolitana, Santiago","Moda y vestuario",5000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/moda-vestuario/polera_manga_corta_marca_csg_73768501.htm?ca=15_s&oa=73768501&xsp=49"
"X246","Región Metropolitana, La Granja","Autos, camionetas y 4x4",7680000,"Vendo","2020","https://www.yapo.cl/region_metropolitana/autos/peugeot_301_2018_1_6_diesel_full_72126300.htm?ca=15_s&oa=72126300&xsp=0"
"X247","Región Metropolitana, La Cisterna","Accesorios y piezas para vehículos",40000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/multiple_admision_chv_dmax_2014_73768702.htm?ca=15_s&oa=73768702&xsp=1"
"X248","Región Metropolitana, Estación Central","Accesorios y piezas para vehículos",50000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/mantencion_hino_700_73768700.htm?ca=15_s&oa=73768700&xsp=2"
"X249","Región Metropolitana, Providencia","Libros y revistas",9000,"Vendo","2016","https://www.yapo.cl/region_metropolitana/libros_revistas/libro___34_el_bosque_encantado__34__73768698.htm?ca=15_s&oa=73768698&xsp=3"
"X250","Región Metropolitana, Maipú","Accesorios y piezas para vehículos",13000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/foto_traseeo_izquiero_foton_midi_73768691.htm?ca=15_s&oa=73768691&xsp=4"
"X251","Región Metropolitana, Santiago","Juguetes",19890,"Vendo","2018","https://www.yapo.cl/region_metropolitana/juguetes/disney_tangled_the_series_hasbro_toys_nuevo_73768690.htm?ca=15_s&oa=73768690&xsp=5"
"X252","Región Metropolitana, La Florida","Autos, camionetas y 4x4",58900005990000,"Vendo","2016","https://www.yapo.cl/region_metropolitana/autos/nissan_qashqai_2014_73263460.htm?ca=15_s&oa=73263460&xsp=6"
"X253","Región Metropolitana, Las Condes","Otros artículos del hogar",22000,"Vendo","2018","https://www.yapo.cl/region_metropolitana/articulos-del-hogar/lacasadel_roller_cortina_blackout_texturado_73768688.htm?ca=15_s&oa=73768688&xsp=7"
"X254","Región Metropolitana, Macul","Vestuario futura mamá y niños",3000,"Vendo","2017","https://www.yapo.cl/region_metropolitana/vestuario-futura-mama-ninos/calzon_sobre_panal_12_18_meses_73768687.htm?ca=15_s&oa=73768687&xsp=8"
"X255","Región Metropolitana, Las Condes","Muebles",350000,"Vendo","2016","https://www.yapo.cl/region_metropolitana/muebles/sillon_marca_ashley_72322739.htm?ca=15_s&oa=72322739&xsp=9"
"X256","Región Metropolitana, San Bernardo","Negocios, maquinaria y construcción",95000,"Vendo","2020","https://www.yapo.cl/region_metropolitana/negocios_maquinaria_construccion/chipeadora_electrica_corte_4cm_2400w_ucrania_nueva_73682911.htm?ca=15_s&oa=73682911&xsp=10"
"X257","Región Metropolitana, Buin","Otros vehículos",25585000,"Vendo","2019","https://www.yapo.cl/region_metropolitana/otros_vehiculos/retroexcavadora_72132946.htm?ca=15_s&oa=72132946&xsp=11"
"X258","Región Metropolitana, Santiago","Servicios",NA,"Salud/Belleza","2016","https://www.yapo.cl/region_metropolitana/servicios/descontracturante_en_camilla_a_domicilio_71983360.htm?ca=15_s&oa=71983360&xsp=12"
"X259","Región Metropolitana, San Miguel","Electrodomésticos",10000,"Vendo","2019","https://www.yapo.cl/region_metropolitana/electrodomesticos/mantencion_reparacion_70020311.htm?ca=15_s&oa=70020311&xsp=13"
"X260","Región Metropolitana, San Bernardo","Servicios",20000,"Construcción / Reparación","2018","https://www.yapo.cl/region_metropolitana/servicios/intalacion_cierros_de_panderetas_tipo_bulldog_69965456.htm?ca=15_s&oa=69965456&xsp=14"
"X261","Región Metropolitana, La Reina","Servicios",2500,"Construcción / Reparación","2014","https://www.yapo.cl/region_metropolitana/servicios/arriendo_de_andamios_sin_garantia_68214160.htm?ca=15_s&oa=68214160&xsp=15"
"14","Región Metropolitana, Providencia","Vendo - Oficina",NA,NA,"2015","https://www.yapo.cl/region_metropolitana/comprar/oficina_oficina_con_estacionamiento_a_pasos__8230__67468963.htm?ca=15_s&oa=67468963&xsp=16"
"X262","Región Metropolitana, San Miguel","Servicios",60000,"InformáticaProfesionales liberales","2017","https://www.yapo.cl/region_metropolitana/servicios/paginas_web_y_tiendas_virtuales_70882329.htm?ca=15_s&oa=70882329&xsp=17"
"X263","Región Metropolitana, Macul","Electrodomésticos",50000,"Vendo","2019","https://www.yapo.cl/region_metropolitana/electrodomesticos/busco__refrigeradores_buenos_o_malos_y_retiro_68561555.htm?ca=15_s&oa=68561555&xsp=18"
"X264","Región Metropolitana, Pudahuel","Muebles",20000,"Vendo","2016","https://www.yapo.cl/region_metropolitana/muebles/sillones_comodos_y_firmes_santiago_73768684.htm?ca=15_s&oa=73768684&xsp=19"
"X265","Región Metropolitana, Macul","Vestuario futura mamá y niños",3000,"Vendo","2017","https://www.yapo.cl/region_metropolitana/vestuario-futura-mama-ninos/calzas_2_anos_73768683.htm?ca=15_s&oa=73768683&xsp=20"
"X266","Región Metropolitana, Maipú","Audio, TV, video y fotografía",NA,"Vendo","2020","https://www.yapo.cl/region_metropolitana/television_camaras/soporte_fijo_led_lcd_26_73768680.htm?ca=15_s&oa=73768680&xsp=21"
"X267","Región Metropolitana, San Bernardo","Servicios",19000,"Servicios domésticos y alimenticiosConstrucción / ReparaciónInformáticaProfesionales liberales","2020","https://www.yapo.cl/region_metropolitana/servicios/router_cnc_73143831.htm?ca=15_s&oa=73143831&xsp=22"
